universe,lag_months,year,n,top,bottom,spread,ic
NIFTY 50,6,2023-09-30,33,0.584153,0.586165,-0.002013,0.053142
NIFTY 50,6,2024-09-30,44,-0.077251,0.019967,-0.097218,-0.220860
